"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"2157.9749999946216","<p>In the video you just watched, in which room did this object appear?</p><p><img src= 'images/stimuli/10.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","html-keyboard-response","68","217128","0.0-5.0-3.10","roomType","1","","","","","5","","29","",""
"null","","null","html-keyboard-response","69","217631","0.0-5.0-4.10","blank","","","","","","","","","",""
"1496.0900000005495","<p>In the video you just watched, on which table did the object appear?</p><p><img src= 'images/stimuli/10.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","html-keyboard-response","70","219128","0.0-5.0-5.10","tableNum","3","","","","","5","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","219629","0.0-5.0-0.11","fixation","","","","","","","","","",""
"8468.854999999166","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?</p><p><img src= 'images/stimuli/16.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/23.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/67.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/75.png' style='width:100%'>3</p></div></div>","49","html-keyboard-response","72","228098","0.0-5.0-1.11","temporalOrder","1","16","images/stimuli/23.png","images/stimuli/67.png","images/stimuli/75.png","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?","35","0","across"
"null","","null","html-keyboard-response","73","228599","0.0-5.0-2.11","blank","","","","","","","","","",""
"2458.555000004708","<p>In the video you just watched, in which room did this object appear?</p><p><img src= 'images/stimuli/16.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","html-keyboard-response","74","231058","0.0-5.0-3.11","roomType","1","","","","","5","","35","",""
"null","","null","html-keyboard-response","75","231561","0.0-5.0-4.11","blank","","","","","","","","","",""
"2106.0399999987567","<p>In the video you just watched, on which table did the object appear?</p><p><img src= 'images/stimuli/16.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","html-keyboard-response","76","233667","0.0-5.0-5.11","tableNum","3","","","","","5","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","234168","0.0-5.0-0.12","fixation","","","","","","","","","",""
"6959.694999997737","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?</p><p><img src= 'images/stimuli/18.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/82.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/60.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/20.png' style='width:100%'>3</p></div></div>","50","html-keyboard-response","78","241128","0.0-5.0-1.12","temporalOrder","2","18","images/stimuli/60.png","images/stimuli/20.png","images/stimuli/82.png","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared immediately after this object?","30","0","across"
"null","","null","html-keyboard-response","79","241630","0.0-5.0-2.12","blank","","","","","","","","","",""
"1536.9949999876553","<p>In the video you just watched, in which room did this object appear?</p><p><img src= 'images/stimuli/18.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","html-keyboard-response","80","243168","0.0-5.0-3.12","roomType","2","","","","","5","","30","",""
"null","","null","html-keyboard-response","81","243669","0.0-5.0-4.12","blank","","","","","","","","","",""
"447.8499999968335","<p>In the video you just watched, on which table did the object appear?</p><p><img src= 'images/stimuli/18.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","html-keyboard-response","82","244118","0.0-5.0-5.12","tableNum","3","","","","","5","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","244620","0.0-5.0-0.13","fixation","","","","","","","","","",""
