"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","targetTable","foil1Table","foil2Table","imageSize"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","168","362419","0.0-5.0-0.2","fixation","","","","","","","","","","","","","","","","","","","","","",""
"10.29500000004191","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/66.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/82.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/23.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/50.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","169","362432","0.0-5.0-1.2","temporalOrder2","10390","1","66","images/stimuli/82.png","images/stimuli/50.png","-16","3","images/stimuli/23.png","5","2","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","34","m","0","across","2","2","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","170","362939","0.0-5.0-0.3","fixation","","","","","","","","","","","","","","","","","","","","","",""
"73.2949999946868","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/37.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/70.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/33.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/5.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","171","363015","0.0-5.0-1.3","temporalOrder2","10390","3","37","images/stimuli/5.png","images/stimuli/70.png","-26","1","images/stimuli/33.png","12","2","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","18","m","1","within","3","3","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","172","363528","0.0-5.0-0.4","fixation","","","","","","","","","","","","","","","","","","","","","",""
"2.5650000025052577","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/48.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/25.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/0.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/45.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","173","363534","0.0-5.0-1.4","temporalOrder2","10390","3","48","images/stimuli/45.png","images/stimuli/0.png","-38","2","images/stimuli/25.png","7","1","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","29","m","0","across","2","2","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","174","364042","0.0-5.0-0.5","fixation","","","","","","","","","","","","","","","","","","","","","",""
"51.720000003115274","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/43.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/32.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/17.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/70.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","175","364096","0.0-5.0-1.5","temporalOrder2","10390","1","43","images/stimuli/32.png","images/stimuli/70.png","-14","3","images/stimuli/17.png","9","2","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","12","m","1","within","3","3","2","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","176","364606","0.0-5.0-0.6","fixation","","","","","","","","","","","","","","","","","","","","","",""
"62.554999996791594","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/58.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/47.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/10.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/39.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","177","364671","0.0-5.0-1.6","temporalOrder2","10390","3","58","images/stimuli/39.png","images/stimuli/47.png","-3","1","images/stimuli/10.png","54","2","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","3","m","0","across","2","3","2","0.28825622775800713"
