"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"3809.519999995129","<img src= stimuli/temporalOrder/32.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/48.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/43.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/27.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","184","1091844","0.0-3.0-1.45","","temporalOrder","2","32"
"null","","null","html-keyboard-response","185","1092349","0.0-3.0-2.45","","blank","",""
"1497.5600000035483","<img src= stimuli/temporalOrder/32.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/27.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/23.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/11.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","186","1093848","0.0-3.0-3.45","","contextMemory","3","32"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","187","1094353","0.0-3.0-0.46","","fixation","",""
"3451.2649999961723","<img src= stimuli/temporalOrder/55.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/45.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/62.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","188","1097806","0.0-3.0-1.46","","temporalOrder","1","55"
"null","","null","html-keyboard-response","189","1098310","0.0-3.0-2.46","","blank","",""
"882.0249999989755","<img src= stimuli/temporalOrder/55.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/37.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/40.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","190","1099194","0.0-3.0-3.46","","contextMemory","1","55"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","191","1099696","0.0-3.0-0.47","","fixation","",""
"8179.049999991665","<img src= stimuli/temporalOrder/74.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/44.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/73.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/67.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","192","1107877","0.0-3.0-1.47","","temporalOrder","1","74"
"null","","null","html-keyboard-response","193","1108379","0.0-3.0-2.47","","blank","",""
"2136.0300000088755","<img src= stimuli/temporalOrder/74.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/44.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/24.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","194","1110517","0.0-3.0-3.47","","contextMemory","1","74"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","195","1111021","0.0-3.0-0.48","","fixation","",""
"6606.690000000643","<img src= stimuli/temporalOrder/85.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/87.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/23.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/34.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","196","1117629","0.0-3.0-1.48","","temporalOrder","1","85"
"null","","null","html-keyboard-response","197","1118134","0.0-3.0-2.48","","blank","",""
"1999.9599999864586","<img src= stimuli/temporalOrder/85.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/35.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/23.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","198","1120136","0.0-3.0-3.48","","contextMemory","2","85"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","199","1120640","0.0-3.0-0.49","","fixation","",""
