"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"1700.0049999915063","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/62.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/82.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/7.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/56.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","108","241054","0.0-3.0-1.52","temporalOrder1","10481","1","62","images/stimuli/82.png","images/stimuli/56.png","-15","3","images/stimuli/7.png","18","2","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","33","o","1","within","2","3","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","109","241556","0.0-3.0-0.53","fixation","","","","","","","","","","","","","","","","","","","","","",""
"2209.0700000117067","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/72.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/86.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/46.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/38.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","110","243766","0.0-3.0-1.53","temporalOrder1","10481","1","72","images/stimuli/86.png","images/stimuli/46.png","-8","2","images/stimuli/38.png","57","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","15","o","0","across","3","3","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","111","244267","0.0-3.0-0.54","fixation","","","","","","","","","","","","","","","","","","","","","",""
"1634.2299999960233","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/29.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/80.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/4.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/62.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","112","245902","0.0-3.0-1.54","temporalOrder1","10481","1","29","images/stimuli/80.png","images/stimuli/4.png","-39","2","images/stimuli/62.png","23","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","21","o","0","across","3","2","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","113","246404","0.0-3.0-0.55","fixation","","","","","","","","","","","","","","","","","","","","","",""
"1209.4799999904353","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/6.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/38.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/78.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","114","247614","0.0-3.0-1.55","temporalOrder1","10481","1","6","images/stimuli/38.png","images/stimuli/85.png","-40","2","images/stimuli/78.png","3","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","43","o","0","across","3","3","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","115","248115","0.0-3.0-0.56","fixation","","","","","","","","","","","","","","","","","","","","","",""
"1439.8349999974016","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/10.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/40.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/42.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/86.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","116","249556","0.0-3.0-1.56","temporalOrder1","10481","1","10","images/stimuli/40.png","images/stimuli/86.png","-28","3","images/stimuli/42.png","29","2","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","30","o","1","within","2","2","3","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","117","250058","0.0-3.0-0.57","fixation","","","","","","","","","","","","","","","","","","","","","",""
