"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"1064.3100002780557","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/72.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","roomType","html-keyboard-response","231","393832","0.0-0.0-3.38","2","","","","","4","","15","",""
"null","","null","blank","html-keyboard-response","232","394333","0.0-0.0-4.38","","","","","","","","","",""
"417.84000024199486","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/72.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","tableNum","html-keyboard-response","233","394752","0.0-0.0-5.38","2","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","234","395253","0.0-0.0-0.39","","","","","","","","","",""
"471.16499999538064","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/52.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/83.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/17.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/30.png' style='width:100%'>3</p></div></div>","49","temporalOrder","html-keyboard-response","235","395727","0.0-0.0-1.39","3","52","images/stimuli/30.png","images/stimuli/83.png","images/stimuli/17.png","4","Which of the objects below came next?","14","1","within-no-walls"
"null","","null","blank","html-keyboard-response","236","396227","0.0-0.0-2.39","","","","","","","","","",""
"372.1750001423061","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/52.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","237","396601","0.0-0.0-3.39","1","","","","","4","","14","",""
"null","","null","blank","html-keyboard-response","238","397103","0.0-0.0-4.39","","","","","","","","","",""
"807.289999909699","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/52.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","tableNum","html-keyboard-response","239","397912","0.0-0.0-5.39","2","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","240","398413","0.0-0.0-0.40","","","","","","","","","",""
"504.6149999834597","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/69.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/27.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/81.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/44.png' style='width:100%'>3</p></div></div>","49","temporalOrder","html-keyboard-response","241","398920","0.0-0.0-1.40","2","69","images/stimuli/81.png","images/stimuli/44.png","images/stimuli/27.png","4","Which of the objects below came next?","5","0","across"
"null","","null","blank","html-keyboard-response","242","399421","0.0-0.0-2.40","","","","","","","","","",""
"1064.3899999558926","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/69.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","roomType","html-keyboard-response","243","400488","0.0-0.0-3.40","2","","","","","4","","5","",""
"null","","null","blank","html-keyboard-response","244","400990","0.0-0.0-4.40","","","","","","","","","",""
"536.290000192821","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/69.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","tableNum","html-keyboard-response","245","401528","0.0-0.0-5.40","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","246","402031","0.0-0.0-0.41","","","","","","","","","",""
"927.000000141561","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/68.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/13.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/54.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/11.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","247","402960","0.0-0.0-1.41","1","68","images/stimuli/13.png","images/stimuli/54.png","images/stimuli/11.png","4","Which of the objects below came next?","40","1","within-no-walls"
"null","","null","blank","html-keyboard-response","248","403463","0.0-0.0-2.41","","","","","","","","","",""
"605.6499998085201","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/68.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","249","404071","0.0-0.0-3.41","1","","","","","4","","40","",""
"null","","null","blank","html-keyboard-response","250","404571","0.0-0.0-4.41","","","","","","","","","",""
"403.6449999548495","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/68.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","251","404976","0.0-0.0-5.41","2","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","252","405479","0.0-0.0-0.42","","","","","","","","","",""
